Name,x,y,z,grav[mGal],rms[mGal],vertical_gradient
Sissacherfluh,2628621.04031876,1258946.94570682,700.81,980653.996,0.0024,
Aarburg,2634807.04032943,1241170.94567321,398.389,980681.906,0.0017,
Wartburg,2636307.04033228,1242601.94567583,653.2,980626.565,0.0037,
Laufenburg,2646839.04035324,1268057.94572268,359.627,908730.697,0.0052,
Lenzburg,2656313.04036963,1248745.94568634,504.47,980661.712,0.0025,
Knutwil,2647382.04035235,1228184.94564857,578.428,980608.53,0.003,
Birrfeld,2660120.04037697,1255148.94569797,395.477,980692.443,0.0084,
Laegern,2672525.04039995,1259423.94570512,852.94,980593.347,0.0024,
Hoenggerberg,2679885.04041292,1251325.9456899,528.315,980645.455,0.0024,
Zurich,2680610.04041425,1251459.94569011,519.501,980647.966,0.0014,0.2635
Buchberg,2684032.04042159,1270183.94572404,525.037,980678.145,0.0054,
