x,y,z,formation
2670904.28438963,1268621.61995949,-1745.7142857143,graben_fill
2671272.25688963,1267816.05524526,-1834.2857142857,graben_fill
2671582.50821317,1267136.85362346,-1843.1428571429,graben_fill
2671705.16571317,1266868.33205205,-1967.1428571429,graben_fill
2672015.4170367,1266189.13043025,-1869.7142857143,graben_fill
2672260.73203671,1265652.08728743,-1940.5714285714,graben_fill
2674663.37578714,1260392.22404716,-2064.5714285714,graben_fill
2674894.26049303,1259886.77167745,-2029.1428571429,graben_fill
2649458.0522494,1266283.38208394,116.7951660156,graben_fill
2649742.10388169,1265748.09136352,-60.3476911272,graben_fill
2650039.06695181,1265188.46924672,-140.0619768415,graben_fill
2650284.3842706,1264726.17271545,-334.9191196987,graben_fill
2668831.91346392,1265688.84163317,-2039.623953683,graben_fill
2670129.78422181,1266010.45749586,-1897.9096679688,graben_fill
2671338.14665156,1266309.89295422,-1942.1953822545,graben_fill
2672770.27990165,1266664.77942339,-1773.9096679688,graben_fill
2674023.39649547,1266975.30508392,-1676.4810965402,graben_fill
2674963.23394083,1267208.19932931,-1951.0525251116,graben_fill
2676216.35053466,1267518.72498983,-1968.7668108259,graben_fill
2677558.97545661,1267851.43105468,-1641.0525251116,graben_fill
2679035.86287076,1268217.40772601,-1658.7668108259,graben_fill
2680199.47113645,1268505.75298221,-1587.9096679688,graben_fill
