x_loc,z,x_glob,y_glob
436.58699446809504,211.71428571428544,2649225.6463684323,1266721.3472188273
1868.9223238094125,167.42857142857156,2649897.0411356627,1265456.1146069276
3191.0780124321673,-53.99999999999977,2650516.790151568,1264288.2075805587
4375.509150156718,-213.4285714285711,2651071.9819783163,1263241.957536103
6634.191784887257,-346.2857142857142,2652130.719880488,1261246.7830327228
9443.772623210609,-390.57142857142844,2653447.6865392863,1258764.9806016886
11592.275617222585,-514.5714285714284,2654454.7786901323,1256867.131683839
12969.521126204623,-434.8571428571429,2655100.3505817004,1255650.5618647046
15035.388549073727,-558.8571428571427,2656068.708025026,1253825.7078785384
16908.4424412893,-691.7142857142858,2656946.6857975586,1252171.1729245158
19525.20890835517,-966.2857142857144,2658173.2723915377,1249859.6902681603
22031.79573470247,-1152.2857142857142,2659348.2132341913,1247645.533197336
