X,Y,Z,azimuth,dip,polarity,formation
9049.705535,7000,-827.14277,90,80.58322916,1,Fault2
9675.19573,7000,-3087.857055,90,70.68572299,1,Fault2
10727.15652,7000,-5466.428485,90,63.90002445,1,Fault2
17038.92123,7000,-1448.57134,270,64.64577581,1,Fault5
15731.07809,7000,-3966.42848,270,52.83168958,1,Fault5
19910.48985,7000,-1437.857055,270,64.53218228,1,Fault6
11779.1173,7000,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,7000,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,7000,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,7000,-3484.2856,270,34.418041,1,Lower-filling
18346.7644,7000,-1769.9999,90,15.326741,1,Lower-filling
12774.21534,7000,-4416.42848,270,21.58819311,1,Middle-filling
13684.01926,7000,-4084.285625,270,17.43434359,1,Middle-filling
15816.3722,7000,-2187.857055,270,37.59912122,1,Middle-filling
17635.98005,7000,-559.28563,270,43.98244174,1,Middle-filling
5069.313375,7000,147.85723,90,22.9053096,1,Upper-filling
7059.509455,7000,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,7000,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,7000,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,7000,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,7000,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,7000,276.42866,90,16.40505843,1,Mesozoic
7087.94083,7000,-55.714195,90,3.23532091,1,Mesozoic
8992.84279,7000,-280.714195,90,11.82463242,1,Mesozoic
10613.43103,7000,-537.857055,90,6.450140786,1,Mesozoic
12660.48985,7000,-687.857055,90,2.568724949,1,Mesozoic
14934.99966,7000,-805.714195,90,3.40521025,1,Mesozoic
20791.8624,7000,-1159.28563,90,4.812342613,1,Mesozoic
24345.78397,7000,-1405.714195,90,6.249624468,1,Mesozoic
17948.72514,7000,426.428655,90,4.805324595,1,Tertiary
22924.21534,7000,-109.28563,90,9.974163683,1,Tertiary
25397.74475,7000,-452.14277,90,5.636728677,1,Tertiary
27530.0977,7000,-709.285625,90,8.444171645,1,Tertiary
17500,7000,250.28563,90,52,1,Thrust1_south
20500,7000,-100,90,45,1,Thrust2_south
24500,7000,-950,90,6.249624468,1,Pink
12500,7000,-200,90,3.23532091,1,Orange
9049.705535,14000,-827.14277,90,80.58322916,1,Fault2
9675.19573,14000,-3087.857055,90,70.68572299,1,Fault2
10727.15652,14000,-5466.428485,90,63.90002445,1,Fault2
17038.92123,14000,-1448.57134,270,64.64577581,1,Fault5
15731.07809,14000,-3966.42848,270,52.83168958,1,Fault5
19910.48985,14000,-1437.857055,270,64.53218228,1,Fault6
11779.1173,14000,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,14000,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,14000,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,14000,-3484.2856,270,34.418041,1,Lower-filling
18346.7644,14000,-1769.9999,90,15.326741,1,Lower-filling
12774.21534,14000,-4416.42848,270,21.58819311,1,Middle-filling
13684.01926,14000,-4084.285625,270,17.43434359,1,Middle-filling
15816.3722,14000,-2187.857055,270,37.59912122,1,Middle-filling
17635.98005,14000,-559.28563,270,43.98244174,1,Middle-filling
5069.313375,14000,147.85723,90,22.9053096,1,Upper-filling
7059.509455,14000,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,14000,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,14000,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,14000,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,14000,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,14000,276.42866,90,16.40505843,1,Mesozoic
7087.94083,14000,-55.714195,90,3.23532091,1,Mesozoic
8992.84279,14000,-280.714195,90,11.82463242,1,Mesozoic
10613.43103,14000,-537.857055,90,6.450140786,1,Mesozoic
12660.48985,14000,-687.857055,90,2.568724949,1,Mesozoic
14934.99966,14000,-805.714195,90,3.40521025,1,Mesozoic
20791.8624,14000,-1159.28563,90,4.812342613,1,Mesozoic
24345.78397,14000,-1405.714195,90,6.249624468,1,Mesozoic
17948.72514,14000,426.428655,90,4.805324595,1,Tertiary
22924.21534,14000,-109.28563,90,9.974163683,1,Tertiary
25397.74475,14000,-452.14277,90,5.636728677,1,Tertiary
27530.0977,14000,-709.285625,90,8.444171645,1,Tertiary
17500,14000,250.28563,90,52,1,Thrust1_south
20500,14000,-100,90,45,1,Thrust2_south
24500,14000,-950,90,6.249624468,1,Pink
12500,14000,-200,90,3.23532091,1,Orange
