X,Y,Z,formation,IsFault
8964.41142,10000,-312.85706,Fault2,TRUE
9134.99965,10000,-1341.42848,Fault2,TRUE
9476.17612,10000,-2519.99991,Fault2,TRUE
9874.21534,10000,-3655.7142,Fault2,TRUE
10385.98005,10000,-4769.99991,Fault2,TRUE
11068.33299,10000,-6162.85706,Fault2,TRUE
17323.23495,10000,-848.57134,Fault5,TRUE
16754.6075,10000,-2048.57134,Fault5,TRUE
16129.1173,10000,-3441.42848,Fault5,TRUE
15333.03887,10000,-4491.42848,Fault5,TRUE
1401.66632,10000,999,Lower-filling,FALSE
7201.66632,10000,999,Lower-filling,FALSE
11295.78397,10000,-5905.7142,Lower-filling,FALSE
12262.45063,10000,-5755.7142,Lower-filling,FALSE
13399.70554,10000,-5219.99991,Lower-filling,FALSE
14764.41142,10000,-4127.14277,Lower-filling,FALSE
15276.17612,10000,-3698.57134,Lower-filling,FALSE
15901.66632,10000,-3269.99991,Lower-filling,FALSE
23521.27416,10000,999,Lower-filling,FALSE
27842.84279,10000,999,Lower-filling,FALSE
1401.66632,10000,999,Middle-filling,FALSE
7201.66632,10000,999,Middle-filling,FALSE
10784.01926,10000,-4748.57134,Middle-filling,FALSE
12205.58789,10000,-4641.42848,Middle-filling,FALSE
13342.84279,10000,-4191.42848,Middle-filling,FALSE
14025.19573,10000,-3977.14277,Middle-filling,FALSE
15162.45063,10000,-2691.42848,Middle-filling,FALSE
16470.29377,10000,-1684.28563,Middle-filling,FALSE
18801.66632,10000,999,Middle-filling,FALSE
21474.21534,10000,999,Middle-filling,FALSE
23521.27416,10000,999,Middle-filling,FALSE
27842.84279,10000,999,Middle-filling,FALSE
10,10000,999,Upper-filling,FALSE
4131.07808,10000,999,Upper-filling,FALSE
6007.54867,10000,-248.57134,Upper-filling,FALSE
8111.47024,10000,-505.7142,Upper-filling,FALSE
9646.76436,10000,-1298.57134,Upper-filling,FALSE
10954.6075,10000,-2155.7142,Upper-filling,FALSE
13115.39181,10000,-2112.85706,Upper-filling,FALSE
14821.27416,10000,-2027.14277,Upper-filling,FALSE
16242.84279,10000,-1662.85706,Upper-filling,FALSE
19256.56828,10000,999,Upper-filling,FALSE
23521.27416,10000,999,Upper-filling,FALSE
27842.84279,10000,999,Upper-filling,FALSE
1401.66632,10000,608.57152,Mesozoic,FALSE
4131.07808,10000,544.2858,Mesozoic,FALSE
5950.68593,10000,8.57152,Mesozoic,FALSE
8225.19573,10000,-119.99991,Mesozoic,FALSE
9760.48985,10000,-441.42848,Mesozoic,FALSE
11466.3722,10000,-634.28563,Mesozoic,FALSE
13854.6075,10000,-741.42848,Mesozoic,FALSE
16015.39181,10000,-869.99991,Mesozoic,FALSE
18119.31338,10000,-934.28563,Mesozoic,FALSE
23464.41142,10000,-1384.28563,Mesozoic,FALSE
25454.6075,10000,-1512.85706,Mesozoic,FALSE
27672.25455,10000,-1769.99991,Mesozoic,FALSE
21019.31338,10000,-1041.42848,Mesozoic,FALSE
5495.78397,10000,780.00009,Tertiary,FALSE
14252.64671,10000,737.14294,Tertiary,FALSE
21644.80357,10000,115.71437,Tertiary,FALSE
24203.6271,10000,-334.28563,Tertiary,FALSE
26591.8624,10000,-569.99991,Tertiary,FALSE
28468.33299,10000,-848.57134,Tertiary,FALSE
22895.78397,10000,30.00009,Quaternary,FALSE
21701.66632,10000,287.14294,Quaternary,FALSE
23976.17612,10000,201.42866,Quaternary,FALSE
25682.05848,10000,308.57152,Quaternary,FALSE
26421.27416,10000,-55.7142,Quaternary,FALSE
28525.19573,10000,-77.14277,Quaternary,FALSE
9589.90161,10000,999,Quaternary,FALSE
2880.09769,10000,999,Quaternary,FALSE
