,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
9,Thrust1_south,Thrust1_series,1,False,True,True,True,#6acc64,"[[16712.64526367 10000.           475.        ]
 [16730.         10000.           448.21929932]
 [16730.          9697.17806036   475.        ]
 ...
 [27930.         17272.72727273 -2235.0730896 ]
 [27930.         18567.58117676 -2225.        ]
 [27930.         19090.90909091 -2220.84236145]]","[[   2    1    0]
 [   4    3    0]
 [   0    3    2]
 ...
 [3446 3467 3469]
 [3470 3446 3469]
 [3448 3446 3470]]",1.5222464926567034,1
10,Thrust2_south,Thrust2_series,1,False,True,True,True,#d65f5f,"[[19218.40515137 10000.           575.        ]
 [19250.         10000.           538.56430054]
 [19250.          8837.31668646   575.        ]
 ...
 [27930.         18267.28820801 -1625.        ]
 [27917.8427124  19090.90909091 -1575.        ]
 [27930.         19090.90909091 -1577.95333862]]","[[   2    1    0]
 [   1    3    0]
 [   6    5    4]
 ...
 [3077 3102 3103]
 [3076 3102 3077]
 [3103 3079 3077]]",1.5614024409528349,2
0,Fault2,Fault2_series,1,False,True,True,True,#015482,"[[ 8884.28344727  8181.81818182   375.        ]
 [ 8890.          8181.81818182   337.31155396]
 [ 8890.          8001.44845789   375.        ]
 ...
 [11470.27908325 19090.90909091 -6475.        ]
 [11430.60714722 19090.90909091 -6375.        ]
 [11410.8203125  19090.90909091 -6325.        ]]","[[   2    1    0]
 [   4    3    0]
 [   0    3    2]
 ...
 [2718 2702 2701]
 [2718 2701 2717]
 [2718 2704 2702]]",1.1233588394406298,3
1,Fault5,Fault5_series,1,False,True,True,True,#9f0052,"[[13370.           909.09090909 -6426.30705833]
 [13333.4715271    909.09090909 -6475.        ]
 [13370.          1614.81152881 -6475.        ]
 ...
 [18023.25683594 11818.18181818   525.        ]
 [18020.28320312 13636.36363636   525.        ]
 [17995.61828613 15454.54545455   525.        ]]","[[   2    1    0]
 [   5    4    3]
 [   0    6    2]
 ...
 [2703 2706 2691]
 [2703 2705 2706]
 [2706 2695 2691]]",-0.30477602731667197,4
6,Tertiary,Post_tectonic_series,1,False,False,True,True,#5DA629,"[[ 8017.33863831   909.09090909   675.        ]
 [ 8050.           970.39950842   675.        ]
 [ 8050.           909.09090909   672.2984314 ]
 ...
 [27930.         19090.90909091 -1623.3417511 ]
 [27921.99768066 19090.90909091  -775.        ]
 [27930.         19090.90909091  -776.25274658]]","[[   2    1    0]
 [   4    3    2]
 [   2    3    1]
 ...
 [8175 8170 8176]
 [8175 8147 8140]
 [8175 8140 8169]]",1.1970699591592735,5
8,Pink,Post_tectonic_series,2,False,False,True,True,#ee854a,"[[   70.           909.09090909   555.43365479]
 [   70.          2727.27272727   565.3717041 ]
 [  210.           909.09090909   543.84155273]
 ...
 [27902.10510254 19090.90909091 -1575.        ]
 [27930.         19090.90909091 -1585.30654907]
 [27930.         19090.90909091 -1400.78620911]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [7487 7527 7485]
 [7524 7489 7483]
 [7529 7489 7524]]",1.1765434473125471,6
7,Orange,Post_tectonic_series,3,False,False,True,True,#4878d0,"[[   70.           909.09090909   301.50985718]
 [   70.          2727.27272727   308.78753662]
 [  210.           909.09090909   289.79644775]
 ...
 [27930.         17272.72727273 -1621.93527222]
 [27930.         17384.11643288 -1675.        ]
 [27930.         17279.1706432  -1625.        ]]","[[   2    1    0]
 [   3    1    2]
 [   6    5    4]
 ...
 [4583 4582 4551]
 [4551 4550 4581]
 [4551 4581 4583]]",1.169299147983244,7
5,Mesozoic,Detachement,1,False,False,True,True,#ff3f20,,,-4.885284136725281,8
4,Upper-filling,Syn_tectonic_series2,1,False,False,True,True,#443988,"[[ 9166.72729492  8181.81818182 -1075.        ]
 [ 9170.          6363.63636364 -1078.65867615]
 [ 9159.44488525  6363.63636364 -1075.        ]
 ...
 [17202.01507568 11818.18181818  -975.        ]
 [17158.10913086 13636.36363636 -1075.        ]
 [17162.9914856  13636.36363636 -1025.        ]]","[[   2    1    0]
 [   0    1    3]
 [   6    5    4]
 ...
 [2888 2889 2892]
 [2893 2889 2890]
 [2892 2889 2893]]",1.0288183455843136,9
3,Middle-filling,Syn_tectonic_series1,1,False,False,True,True,#728f02,"[[ 9546.76376343 19090.90909091  -425.        ]
 [ 9590.         17516.50896939  -425.        ]
 [ 9590.         19090.90909091  -468.72711182]
 ...
 [17196.75460815 13636.36363636  -975.        ]
 [17196.59011841 15454.54545455 -1025.        ]
 [17220.19226074 15454.54545455  -975.        ]]","[[   2    1    0]
 [   5    4    3]
 [   3    4    6]
 ...
 [4573 4585 4569]
 [4585 4573 4575]
 [4585 4575 4586]]",23.22011388650241,10
2,Lower-filling,Pre_tectonic_series,1,False,False,True,True,#ffbe00,"[[ 9024.89814758  8181.81818182  -475.        ]
 [ 9030.          8181.81818182  -477.38761902]
 [ 9030.          8115.61801217  -475.        ]
 ...
 [17333.8130188  11818.18181818  -825.        ]
 [17337.36877441 13636.36363636  -875.        ]
 [17360.83206177 13636.36363636  -825.        ]]","[[   2    1    0]
 [   4    3    0]
 [   0    3    2]
 ...
 [4547 4530 4526]
 [4530 4547 4533]
 [4533 4547 4548]]",-60.18734741477483,11
11,basement,Basement,1,True,False,True,False,#956cb4,,,,12
